InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,Doubles,Triples,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,MVPs,TripleCrowns,GoldGloves,MajorLeaguePlayerOfTheYearAwards,TB,TotalPlayerAwards,LastYearPlayed,ID
FALSE,FALSE,Pat Maloney,1,79,9,17,1,0,0,4,3,0.215189873417722,0.227848101265823,0,0,0,0,0,18,0,1912,313
FALSE,FALSE,George Mangus,1,25,2,5,3,0,0,3,0,0.2,0.32,0,0,0,0,0,8,0,1912,314
FALSE,FALSE,Dan McGarvey,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912,315
FALSE,FALSE,Jim McGarr,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912,316
FALSE,FALSE,Red McDermott,1,15,2,4,1,0,0,0,1,0.266666666666667,0.333333333333333,0,0,0,0,0,5,0,1912,317
FALSE,FALSE,Tommy McMillan,4,991,73,207,21,4,0,54,45,0.208879919273461,0.238143289606458,0,0,0,0,0,236,0,1912,318
FALSE,FALSE,Vincent Maney,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912,319
FALSE,FALSE,Ray Rolling,1,15,0,3,0,0,0,0,0,0.2,0.2,0,0,0,0,0,3,0,1912,320
FALSE,FALSE,Johnny Priest,2,23,3,4,0,0,0,3,3,0.173913043478261,0.173913043478261,0,0,0,0,0,4,0,1912,321
FALSE,FALSE,Hank Perry,1,36,3,6,1,0,0,0,0,0.166666666666667,0.194444444444444,0,0,0,0,0,7,0,1912,322
FALSE,FALSE,Bill Otis,1,17,1,1,0,0,0,2,0,0.0588235294117647,0.0588235294117647,0,0,0,0,0,1,0,1912,323
FALSE,FALSE,Del Paddock,1,157,26,45,5,3,1,14,9,0.286624203821656,0.375796178343949,0,0,0,0,0,59,0,1912,324
FALSE,FALSE,Steve Partenheimer,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913,325
FALSE,FALSE,Monte Pfeffer,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913,326
FALSE,FALSE,Pepper Peploski,1,4,1,2,0,0,0,0,0,0.5,0.5,0,0,0,0,0,2,0,1913,327
FALSE,FALSE,Al Platte,1,18,1,2,1,0,0,0,0,0.111111111111111,0.166666666666667,0,0,0,0,0,3,0,1913,328
